Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
04/20/1966,16:26:19,18.82,147.221,Earthquake,25,,,6,MW,,,,,,,ISCGEM848572,ISCGEM,ISCGEM,ISCGEM,Automatic
04/20/1966,16:42:06,41.703,48.238,Earthquake,20,,,6,MW,,,,,,,ISCGEM848573,ISCGEM,ISCGEM,ISCGEM,Automatic
04/21/1966,15:45:21,35.581,142.171,Earthquake,10,,,6,MW,,,,,,,ISCGEM848596,ISCGEM,ISCGEM,ISCGEM,Automatic
04/21/1966,17:36:48,35.6,142.037,Earthquake,10.9,,,5.9,MW,,,,,,,ISCGEM848601,ISCGEM,ISCGEM,ISCGEM,Automatic
04/22/1966,03:06:35,-37.656,-73.428,Earthquake,21.4,,,5.9,MW,,,,,,,ISCGEM848610,ISCGEM,ISCGEM,ISCGEM,Automatic
04/22/1966,23:27:21,57.271,-152.483,Earthquake,20.9,,,5.8,MW,,,,,,,ISCGEM848633,ISCGEM,ISCGEM,ISCGEM,Automatic
04/23/1966,00:09:35,-0.711,122.191,Earthquake,20,,,6.5,MW,,,,,,,ISCGEM848634,ISCGEM,ISCGEM,ISCGEM,Automatic
04/23/1966,08:56:43,-0.57,122.235,Earthquake,35,,,6.1,MW,,,,,,,ISCGEM848649,ISCGEM,ISCGEM,ISCGEM,Automatic
05/01/1966,16:22:57,-8.341,-74.142,Earthquake,161,,,6.4,MW,,,,,,,ISCGEM847068,ISCGEM,ISCGEM,ISCGEM,Automatic
05/02/1966,09:52:48,-5.996,149.735,Earthquake,35,,,6.1,MW,,,,,,,ISCGEM847081,ISCGEM,ISCGEM,ISCGEM,Automatic
05/02/1966,16:39:45,-8.495,114.967,Earthquake,105,,,5.6,MW,,,,,,,ISCGEM847094,ISCGEM,ISCGEM,ISCGEM,Automatic
05/05/1966,14:21:23,24.298,122.595,Earthquake,50,,,6.2,MW,,,,,,,ISCGEM847191,ISCGEM,ISCGEM,ISCGEM,Automatic
05/09/1966,00:42:56,34.425,26.455,Earthquake,25,,,6,MW,,,,,,,ISCGEM847303,ISCGEM,ISCGEM,ISCGEM,Automatic
05/11/1966,14:17:39,48.888,156.275,Earthquake,24.7,,,6.2,MW,,,,,,,ISCGEM847380,ISCGEM,ISCGEM,ISCGEM,Automatic
05/11/1966,14:26:42,48.848,156.288,Earthquake,25.7,,,5.6,MW,,,,,,,ISCGEM847381,ISCGEM,ISCGEM,ISCGEM,Automatic
05/11/1966,21:39:37,48.853,156.133,Earthquake,20.6,,,5.8,MW,,,,,,,ISCGEM847389,ISCGEM,ISCGEM,ISCGEM,Automatic
05/14/1966,17:03:54,34.023,138.983,Earthquake,10,,,5.7,MW,,,,,,,ISCGEM847467,ISCGEM,ISCGEM,ISCGEM,Automatic
05/15/1966,14:46:08,51.41,-178.291,Earthquake,35.1,,,6.1,MW,,,,,,,ISCGEM847497,ISCGEM,ISCGEM,ISCGEM,Automatic
05/16/1966,02:46:42,-6.974,129.352,Earthquake,201.1,,,5.7,MW,,,,,,,ISCGEM847502,ISCGEM,ISCGEM,ISCGEM,Automatic
05/17/1966,16:58:16,-44.195,-75.478,Earthquake,19.5,,,5.6,MW,,,,,,,ISCGEM847531,ISCGEM,ISCGEM,ISCGEM,Automatic
05/18/1966,07:32:06,24.97,-109.085,Earthquake,20,,,5.9,MW,,,,,,,ISCGEM847550,ISCGEM,ISCGEM,ISCGEM,Automatic
05/19/1966,07:06:29,53.934,-164.122,Earthquake,32.3,,,6,MW,,,,,,,ISCGEM847580,ISCGEM,ISCGEM,ISCGEM,Automatic
05/20/1966,09:14:45,13.901,146.481,Earthquake,25,,,6.1,MW,,,,,,,ISCGEM847619,ISCGEM,ISCGEM,ISCGEM,Automatic
05/20/1966,18:02:38,19.374,122.147,Earthquake,60,,,5.5,MW,,,,,,,ISCGEM847637,ISCGEM,ISCGEM,ISCGEM,Automatic
05/23/1966,08:39:45,30.081,139.992,Earthquake,20,,,5.7,MW,,,,,,,ISCGEM847725,ISCGEM,ISCGEM,ISCGEM,Automatic
